machine_id,start_time,end_time,production_counter,duration_sec,max_pressure,is_valid,is_test_run
2호기(창녕),2025-12-01T22:02:27.870000+00:00,2025-12-01T22:02:28.092000+00:00,,0.222,118.2,False,True
2호기(창녕),2025-12-01T22:02:28.910000+00:00,2025-12-01T22:02:29.028000+00:00,,0.118,117.0,False,True
2호기(창녕),2025-12-01T22:02:29.930000+00:00,2025-12-01T22:02:30.040000+00:00,,0.11,117.0,False,True
2호기(창녕),2025-12-01T22:02:30.920000+00:00,2025-12-01T22:02:31.041000+00:00,,0.121,115.8,False,True
2호기(창녕),2025-12-01T22:02:31.920000+00:00,2025-12-01T22:02:32.047000+00:00,,0.127,115.8,False,True
2호기(창녕),2025-12-01T22:02:32.920000+00:00,2025-12-01T22:02:33.048000+00:00,10.0,0.128,114.6,False,True
2호기(창녕),2025-12-01T22:02:33.930000+00:00,2025-12-01T22:02:34.054000+00:00,10.0,0.124,113.4,False,True
2호기(창녕),2025-12-01T22:02:34.920000+00:00,2025-12-01T22:02:35.057000+00:00,10.0,0.137,113.4,False,True
2호기(창녕),2025-12-01T22:02:35.890000+00:00,2025-12-01T22:02:36.163000+00:00,,0.273,112.2,False,True
2호기(창녕),2025-12-01T22:02:36.920000+00:00,2025-12-01T22:02:37.176000+00:00,,0.256,112.2,False,True
2호기(창녕),2025-12-01T22:02:37.890000+00:00,2025-12-01T22:02:38.176000+00:00,,0.286,111.1,False,True
2호기(창녕),2025-12-01T22:02:38.930000+00:00,2025-12-01T22:02:39.182000+00:00,,0.252,111.1,False,True
2호기(창녕),2025-12-01T22:02:39.920000+00:00,2025-12-01T22:02:40.186000+00:00,,0.266,110.1,False,True
2호기(창녕),2025-12-01T22:02:40.930000+00:00,2025-12-01T22:02:41.190000+00:00,,0.26,108.9,False,True
2호기(창녕),2025-12-01T22:02:41.940000+00:00,2025-12-01T22:02:42.193000+00:00,,0.253,108.9,False,True
2호기(창녕),2025-12-01T22:02:42.950000+00:00,2025-12-01T22:02:43.197000+00:00,,0.247,107.8,False,True
2호기(창녕),2025-12-01T22:02:43.940000+00:00,2025-12-01T22:02:44.202000+00:00,,0.262,107.8,False,True
2호기(창녕),2025-12-01T22:02:44.950000+00:00,2025-12-01T22:02:45.112000+00:00,10.0,0.162,106.9,False,True
2호기(창녕),2025-12-01T22:02:45.940000+00:00,2025-12-01T22:02:46.114000+00:00,10.0,0.174,106.9,False,True
2호기(창녕),2025-12-01T22:02:46.990000+00:00,2025-12-01T22:02:47.115000+00:00,10.0,0.125,105.8,False,True
2호기(창녕),2025-12-01T22:02:47.970000+00:00,2025-12-01T22:02:48.123000+00:00,10.0,0.153,104.8,False,True
2호기(창녕),2025-12-01T22:02:48.950000+00:00,2025-12-01T22:02:49.131000+00:00,10.0,0.181,104.8,False,True
2호기(창녕),2025-12-01T22:02:49.930000+00:00,2025-12-01T22:02:50.135000+00:00,10.0,0.205,103.7,False,True
2호기(창녕),2025-12-01T22:02:50.920000+00:00,2025-12-01T22:02:51.137000+00:00,10.0,0.217,103.7,False,True
2호기(창녕),2025-12-01T22:02:51.950000+00:00,2025-12-01T22:02:52.282000+00:00,,0.332,102.7,False,True
